Add To New Account Master,EOL Tag,Model Tag,Insights Tag,BIS Tag,Internal Enrichment Tag,External Enrichment Tag,Segmentation Tag,Segment Bucketing,ExternalColumnID,Source,SourceColumnName,Description,DataType,Display Name,Category,SubCategory,StatisticalType,DisplayDiscretizationStrategy,FundamentalType
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_ConsumerElectronics,HGData_Pivoted_Source,,"Number of Consumer Electronics Technologies found behind firewall. Eg. Apple, Dell, Intel",INT,Consumer Electronics Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_ContactCenterManagement,HGData_Pivoted_Source,,"Number of Contact Center Management Technologies found behind firewall. Eg. Genesys, Avaya, FIS",INT,Contact Center Management Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_CRM,HGData_Pivoted_Source,,"Number of CRM Technology found behind firewall. Eg. Salesforce, Siebel, Mirosoft Dynamics",INT,"CRM Tech, Tier 1",TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_CRM_One,HGData_Pivoted_Source,,"Number of CRM Technologies found behind firewall. Eg. Contact Center, Helpdesk, Field Support,, Customer Relationship Management",INT,"CRM Tech, Tier 2",TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,N,N,N,Y,Y,N,CloudTechnologies_CRM_Two,HGData_Pivoted_Source,,"Number of technologies that can be categorized as CRM Technologies, but have a different primary usage.",INT,"CRM Tech, Tier 3",TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_CustomerOrderManagement,HGData_Pivoted_Source,,"Number of Customer Order Management Technologies found behind firewall. Eg. Oracle Customer Order, IBM Sterling, JD Edwards Sales",INT,Customer Order Management Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_DataArchivingBackUpRecovery,HGData_Pivoted_Source,,"Number of Data Archiving & Back-up Technologies found behind firewall. Eg. Symantec, Oracle Recovery, Iron Mountain",INT,Data Archiving & Back-up Tech,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_DatabaseManagementSoftware,HGData_Pivoted_Source,,"Number of Database Management Software found behind firewall. Eg. Microsoft SQL, MySQL, Oracle",INT,Database Management Software,TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,Y,Y,N,Y,Y,N,CloudTechnologies_DataCenterSolutions_One,HGData_Pivoted_Source,,"Number of Data Center technologies found behind firewall. Eg. Data Recovery, Data Archiving, IT Infrastructure",INT,"Data Center Tech, Tier 1",TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
Y,N,Y,N,N,N,Y,Y,N,CloudTechnologies_DataCenterSolutions_Two,HGData_Pivoted_Source,,"Number of technologies that can be categorized as Data Center Technologies, but have a different primary usage.",INT,"Data Center Tech, Tier 2",TECHNOLOGY_PROFILE,Other,RATIO,"{""geometric"": { ""minValue"":1,""multiplierList"":[2,2.5,2],""minSamples"":100,""minFreq"":0.01,""maxBuckets"":5,""maxPercentile"":1}}",NUMERIC
