AMColumnID	IsSegment	DecodeStrategy	EncodeBitUnit	BucketAlgorithm
FeatureTermFrequentlyAskedQuestion	false			
FeatureTermFundraising	false			
FeatureTermFundraisingSoftware	false			
FeatureTermHighEnergyPhysics	false			
FeatureTermHighSpeedWirelessCommunications	false			
FeatureTermImpedanceTDRTest	false			
FeatureTermInorganicMaterial	false			
FeatureTermInvertersConverters	false			
FeatureTermLEDLighting	false			
FeatureTermMarketplace	false			
FeatureTermMembershipManagementSoftware	false			
FeatureTermMIPI	false			
FeatureTermMotorsDrives	false			
FeatureTermMyAccount	false			
FeatureTermNanotechnology	false			
FeatureTermOnlineStoreBuilder	false			
FeatureTermOpticalEthernet	false			
FeatureTermOpticalModulationAnalysis	false			
FeatureTermOrderHistory	false			
FeatureTermOrderStatus	false			
FeatureTermOrganicMaterial	false			
FeatureTermPackagedPartFunctionalTest	false			
FeatureTermPaymentMethod	false			
FeatureTermPaymentOption	false			
FeatureTermPaymentProcessing	false			
FeatureTermPaymentSolution	false			
FeatureTermPaywall	false			
FeatureTermPCIe	false			
FeatureTermPersonalAreaNetwork	false			
FeatureTermphpecommerceplatform	false			
FeatureTermPluginforWordPress	false			
FeatureTermPrice	false			
FeatureTermProcessMonitoringAutomatedParametricTest	false			
FeatureTermProduct	false			
FeatureTermPublicRadio	false			
FeatureTermRadioDesign	false			
FeatureTermRecurringBilling	false			
FeatureTermReliabilityTest	false			
FeatureTermRetail	false			
FeatureTermReturnPolicy	false			
FeatureTermReview	false			
FeatureTermRFIDTags	false			
FeatureTermSale	false			
FeatureTermSchedulingandAppointmentSoftware	false			
FeatureTermSearch	false			
FeatureTermSecureOrder	false			
FeatureTermSellDigitalDownloads	false			
FeatureTermSellOnline	false			
FeatureTermSellTickets	false			
FeatureTermSemiconductor	false			
FeatureTermSerialPeripheralBuses	false			
FeatureTermShippingAddress	false			
FeatureTermShippingAndHandling	false			
FeatureTermShippingInfo	false			
FeatureTermShippingPolicy	false			
FeatureTermShop	false			
FeatureTermShopBy	false			
FeatureTermShoppingCartPlatform	false			
FeatureTermShoppingCartSolution	false			
FeatureTermSoftwareforNonprofits	false			
FeatureTermSolarCells	false			
FeatureTermStorageInterface	false			
FeatureTermStore	false			
FeatureTermSwitchModePowerSupply	false			
FeatureTermUSB3x	false			
FeatureTermUSBPowerDelivery	false			
FeatureTermWaferAcceptanceKnownGoodDie	false			
FeatureTermWebBuilder	false			
FeatureTermWebsiteBuilder	false			
FeatureTermWirelessCharging	false			
FeatureTermWirelessDevicePowerConsumption	false			
FeatureTermWishList	false			
FeatureTermWLAN	false			
FeatureTermYourAccount	false			
FeatureTermYourstore	false			
FULL_REPORT_DATE	true			
GLOBAL_ULTIMATE_BUSINESS_NAME	false			
GLOBAL_ULTIMATE_CITY_NAME	true			
GLOBAL_ULTIMATE_COUNTRY_NAME	true			
GLOBAL_ULTIMATE_DnB_CITY_CODE	true			
GLOBAL_ULTIMATE_DnB_CONTINENT_CODE	true			
GLOBAL_ULTIMATE_DnB_COUNTRY_CODE	true			
GLOBAL_ULTIMATE_DnB_COUNTY_CODE	true			
GLOBAL_ULTIMATE_DUNS_NUMBER	true			
GLOBAL_ULTIMATE_INDICATOR	true			
GLOBAL_ULTIMATE_POSTAL_CODE	true			
GLOBAL_ULTIMATE_STATE_PROV_ABR	true			
GLOBAL_ULTIMATE_STATE_PROVINCE_NAME	true			
GLOBAL_ULTIMATE_STREET_ADDRESS	false			
GooglePlus_Url	false			
HEADQUARTER_PARENT_BUSINESS_NAME	false			
HEADQUARTER_PARENT_CITY_NAME	true			
HEADQUARTER_PARENT_COUNTRY_NAME	true			
HEADQUARTER_PARENT_DnB_CITY_CODE	false			
HEADQUARTER_PARENT_DnB_CONTINENT	true			
HEADQUARTER_PARENT_DnB_COUNTRY_CODE	true			
HEADQUARTER_PARENT_DnB_COUNTY_CODE	true			
HEADQUARTER_PARENT_DUNS_NUMBER	true			
HEADQUARTER_PARENT_POSTAL_CODE	true			
HEADQUARTER_PARENT_STATE_PROV_ABR	true			
HEADQUARTER_PARENT_STATE_PROVINCE	true			
HEADQUARTER_PARENT_STREET_ADDRESS	false			
HIERARCHY_CODE	true			
HostingProvidersTopAttributes	true			
HOTLIST_ADDRESS_CHAN	true			
HOTLIST_CEO_CHANGE	true			
HOTLIST_COMPANY_NAME_CHG	true			
HOTLIST_NEW	true			
HOTLIST_OWNERSHIP_CH	true			
HOTLIST_TELEPHONE_NUMBER_CH	true			
HPAEmailSuffix	false			
HPANumPages	true			
IMPORT_EXPORT_AGENT_CODE	true			
IsPublicDomain	false			
JavascriptLibrariesTopAttributes	true			
LAST_UPDATE_DATE	true			
LatticeAccountId	false			
LDC_City	false			
LDC_Country	false			
LDC_Domain	false			
LDC_DomainSource	false			
LDC_DUNS	false			
LDC_Name	false			
LDC_PrimaryIndustry	true			
LDC_State	false			
LDC_Street	false			
LDC_ZipCode	false			
LE_COMPANY_DESCRIPTION	false			
LE_COMPANY_PHONE	false			
LE_COUNTRY	true			
LE_EMPLOYEE_RANGE	true			
LE_INDUSTRY	true			
LE_IS_PRIMARY_DOMAIN	true			
LE_IS_PRIMARY_LOCATION	true			
LE_NAICS_CODE	true			
LE_NUMBER_OF_LOCATIONS	true			
LE_PRIMARY_DUNS	true			
LE_REVENUE_RANGE	true			
LE_SIC_CODE	true			
LEASE_BALANCE_RANKING_1_TO_10	true			
LEGAL_STATUS_CODE	true			
LINE_OF_BUSINESS	true			
LinkedIn_Url	false			
LOCAL_ACTIVITY_TYPE_CODE	true			
MAILING_ADDRESS	false			
MAILING_CITY_NAME	false			
MAILING_COUNTRY_NAME	false			
